5; 450_950_0.75999975_0.1_90;871,4787;;;;;;;;;;;;;;
6; 450_950_0.75999975_0.1_90;838,02057;;;;;;;;;;;;;;
7; 450_950_0.75999975_0.1_90;974,86646;;;;;;;;;;;;;;
8; 450_950_0.75999975_0.1_90;998,12274;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.75999975_0.1_90;945,30817;;838,02057;1039,3287;936,423967;61,79529923;;;;;;;;;
0; 450_950_0.76999974_0.1_90;931,15344;;;;;;;;;;;;;;
1; 450_950_0.76999974_0.1_90;927,4049;;;;;;;;;;;;;;
2; 450_950_0.76999974_0.1_90;1069,2235;;;;;;;;;;;;;;
3; 450_950_0.76999974_0.1_90;899,0924;;;;;;;;;;;;;;
4; 450_950_0.76999974_0.1_90;1011,13306;;;;;;;;;;;;;;
5; 450_950_0.76999974_0.1_90;884,8649;;;;;;;;;;;;;;
6; 450_950_0.76999974_0.1_90;984,5323;;;;;;;;;;;;;;
7; 450_950_0.76999974_0.1_90;863,68384;;;;;;;;;;;;;;
8; 450_950_0.76999974_0.1_90;858,05975;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.76999974_0.1_90;866,0098;;858,05975;1069,2235;929,515789;67,53198044;;;;;;;;;
0; 450_950_0.77999973_0.1_90;918,1251;;;;;;;;;;;;;;
1; 450_950_0.77999973_0.1_90;889,92834;;;;;;;;;;;;;;
2; 450_950_0.77999973_0.1_90;890,5342;;;;;;;;;;;;;;
3; 450_950_0.77999973_0.1_90;905,7727;;;;;;;;;;;;;;
4; 450_950_0.77999973_0.1_90;881,9078;;;;;;;;;;;;;;
5; 450_950_0.77999973_0.1_90;873,13043;;;;;;;;;;;;;;
6; 450_950_0.77999973_0.1_90;900,1203;;;;;;;;;;;;;;
7; 450_950_0.77999973_0.1_90;869,3676;;;;;;;;;;;;;;
8; 450_950_0.77999973_0.1_90;882,9897;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.77999973_0.1_90;925,72217;;869,3676;925,72217;893,759834;17,61285478;;;;;;;;;
0; 450_950_0.7899997_0.1_90;1041,358;;;;;;;;;;;;;;
1; 450_950_0.7899997_0.1_90;829,8253;;;;;;;;;;;;;;
2; 450_950_0.7899997_0.1_90;929,4744;;;;;;;;;;;;;;
3; 450_950_0.7899997_0.1_90;862,4961;;;;;;;;;;;;;;
4; 450_950_0.7899997_0.1_90;964,12103;;;;;;;;;;;;;;
5; 450_950_0.7899997_0.1_90;973,09045;;;;;;;;;;;;;;
6; 450_950_0.7899997_0.1_90;880,0144;;;;;;;;;;;;;;
7; 450_950_0.7899997_0.1_90;908,22876;;;;;;;;;;;;;;
8; 450_950_0.7899997_0.1_90;957,87555;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.7899997_0.1_90;977,8112;;829,8253;1041,358;932,429519;59,9917808;;;;;;;;;
0; 450_950_0.7999997_0.1_90;974,08276;;;;;;;;;;;;;;
1; 450_950_0.7999997_0.1_90;970,4393;;;;;;;;;;;;;;
