0; 800_450_0.7_0.1_232;819,0175;;;;;;;;;;;;
1; 800_450_0.7_0.1_232;863,595;;;;;;;;;;;;
2; 800_450_0.7_0.1_232;868,77295;;;;;;;;;;;;
3; 800_450_0.7_0.1_232;867,4971;;;;;;;;;;;;
4; 800_450_0.7_0.1_232;868,72107;;;;;;;;;;;;
5; 800_450_0.7_0.1_232;830,93036;;;;;;;;;;;;
6; 800_450_0.7_0.1_232;846,4936;;;;;;;;;;;;
7; 800_450_0.7_0.1_232;818,19293;;;;;;;;;;;;
8; 800_450_0.7_0.1_232;834,89075;;Best;Worst;Average;;;;;;;;
9; 800_450_0.7_0.1_232;838,3988;;818,19293;868,77295;845,651006;;;;;;;;
0; 800_450_0.7_0.1_240;887,27295;;;;;;;;;;;;
1; 800_450_0.7_0.1_240;931,49603;;;;;;;;;;;;
2; 800_450_0.7_0.1_240;908,54816;;;;;;;;;;;;
3; 800_450_0.7_0.1_240;836,3254;;;;;;;;;;;;
4; 800_450_0.7_0.1_240;875,7409;;;;;;;;;;;;
5; 800_450_0.7_0.1_240;844,2259;;;;;;;;;;;;
6; 800_450_0.7_0.1_240;847,7178;;;;;;;;;;;;
7; 800_450_0.7_0.1_240;839,136;;;;;;;;;;;;
8; 800_450_0.7_0.1_240;897,92145;;Best;Worst;Average;;;;;;;;
9; 800_450_0.7_0.1_240;863,2394;;836,3254;931,49603;873,162399;;;;;;;;
0; 800_450_0.7_0.1_248;873,78613;;;;;;;;;;;;
1; 800_450_0.7_0.1_248;920,5532;;;;;;;;;;;;
2; 800_450_0.7_0.1_248;860,66473;;;;;;;;;;;;
3; 800_450_0.7_0.1_248;882,1092;;;;;;;;;;;;
4; 800_450_0.7_0.1_248;875,6022;;;;;;;;;;;;
5; 800_450_0.7_0.1_248;817,159;;;;;;;;;;;;
6; 800_450_0.7_0.1_248;949,9262;;;;;;;;;;;;
