0; 450_950_0.71_0.22000003_139;863,5258;;;;;;;;;;;;;;
1; 450_950_0.71_0.22000003_139;832,98364;;;;;;;;;;;;;;
2; 450_950_0.71_0.22000003_139;828,70013;;;;;;;;;;;;;;
3; 450_950_0.71_0.22000003_139;851,266;;;;;;;;;;;;;;
4; 450_950_0.71_0.22000003_139;885,45966;;;;;;;;;;;;;;
5; 450_950_0.71_0.22000003_139;864,2864;;;;;;;;;;;;;;
6; 450_950_0.71_0.22000003_139;816,66815;;;;;;;;;;;;;;
7; 450_950_0.71_0.22000003_139;830,9457;;;;;;;;;;;;;;
8; 450_950_0.71_0.22000003_139;881,30096;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.22000003_139;810,5735;;810,5735;885,45966;846,570994;25,05988119;;;;;;;;;
0; 450_950_0.71_0.23000003_139;856,5576;;;;;;;;;;;;;;
1; 450_950_0.71_0.23000003_139;927,43896;;;;;;;;;;;;;;
2; 450_950_0.71_0.23000003_139;851,2637;;;;;;;;;;;;;;
3; 450_950_0.71_0.23000003_139;837,53876;;;;;;;;;;;;;;
4; 450_950_0.71_0.23000003_139;875,6588;;;;;;;;;;;;;;
5; 450_950_0.71_0.23000003_139;836,3494;;;;;;;;;;;;;;
6; 450_950_0.71_0.23000003_139;856,9495;;;;;;;;;;;;;;
7; 450_950_0.71_0.23000003_139;847,12756;;;;;;;;;;;;;;
8; 450_950_0.71_0.23000003_139;852,7832;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.23000003_139;853,9797;;836,3494;927,43896;859,564718;24,91320805;;;;;;;;;
0; 450_950_0.71_0.24000004_139;896,0362;;;;;;;;;;;;;;
1; 450_950_0.71_0.24000004_139;860,1751;;;;;;;;;;;;;;
2; 450_950_0.71_0.24000004_139;835,971;;;;;;;;;;;;;;
3; 450_950_0.71_0.24000004_139;875,4579;;;;;;;;;;;;;;
4; 450_950_0.71_0.24000004_139;839,23517;;;;;;;;;;;;;;
5; 450_950_0.71_0.24000004_139;951,79175;;;;;;;;;;;;;;
6; 450_950_0.71_0.24000004_139;841,55774;;;;;;;;;;;;;;
7; 450_950_0.71_0.24000004_139;869,234;;;;;;;;;;;;;;
8; 450_950_0.71_0.24000004_139;869,8269;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.24000004_139;860,51965;;835,971;951,79175;869,980541;32,40060361;;;;;;;;;
0; 450_950_0.71_0.25000003_139;816,67694;;;;;;;;;;;;;;
1; 450_950_0.71_0.25000003_139;838,5092;;;;;;;;;;;;;;
2; 450_950_0.71_0.25000003_139;825,3283;;;;;;;;;;;;;;
3; 450_950_0.71_0.25000003_139;883,21906;;;;;;;;;;;;;;
4; 450_950_0.71_0.25000003_139;891,1246;;;;;;;;;;;;;;
5; 450_950_0.71_0.25000003_139;819,57916;;;;;;;;;;;;;;
6; 450_950_0.71_0.25000003_139;833,98846;;;;;;;;;;;;;;
7; 450_950_0.71_0.25000003_139;821,91833;;;;;;;;;;;;;;
8; 450_950_0.71_0.25000003_139;896,0816;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.25000003_139;830,9457;;816,67694;896,0816;845,737135;29,86826644;;;;;;;;;
0; 450_950_0.71_0.26000002_139;878,50604;;;;;;;;;;;;;;
1; 450_950_0.71_0.26000002_139;829,4114;;;;;;;;;;;;;;
2; 450_950_0.71_0.26000002_139;892,44403;;;;;;;;;;;;;;
3; 450_950_0.71_0.26000002_139;836,3186;;;;;;;;;;;;;;
4; 450_950_0.71_0.26000002_139;838,20074;;;;;;;;;;;;;;
5; 450_950_0.71_0.26000002_139;878,5015;;;;;;;;;;;;;;
6; 450_950_0.71_0.26000002_139;834,06055;;;;;;;;;;;;;;
7; 450_950_0.71_0.26000002_139;835,4138;;;;;;;;;;;;;;
8; 450_950_0.71_0.26000002_139;817,1959;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.26000002_139;827,74963;;817,1959;892,44403;846,780219;24,72055933;;;;;;;;;
0; 450_950_0.71_0.27_139;851,26526;;;;;;;;;;;;;;
1; 450_950_0.71_0.27_139;820,6963;;;;;;;;;;;;;;
2; 450_950_0.71_0.27_139;820,5758;;;;;;;;;;;;;;
3; 450_950_0.71_0.27_139;837,2938;;;;;;;;;;;;;;
4; 450_950_0.71_0.27_139;848,2362;;;;;;;;;;;;;;
5; 450_950_0.71_0.27_139;876,52234;;;;;;;;;;;;;;
6; 450_950_0.71_0.27_139;906,45746;;;;;;;;;;;;;;
7; 450_950_0.71_0.27_139;853,8003;;;;;;;;;;;;;;
8; 450_950_0.71_0.27_139;838,7779;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.27_139;847,25836;;820,5758;906,45746;850,088372;24,35024719;;;;;;;;;
0; 450_950_0.71_0.28_139;859,35565;;;;;;;;;;;;;;
1; 450_950_0.71_0.28_139;832,98364;;;;;;;;;;;;;;
2; 450_950_0.71_0.28_139;857,9063;;;;;;;;;;;;;;
3; 450_950_0.71_0.28_139;904,3762;;;;;;;;;;;;;;
4; 450_950_0.71_0.28_139;829,30023;;;;;;;;;;;;;;
5; 450_950_0.71_0.28_139;821,03015;;;;;;;;;;;;;;
6; 450_950_0.71_0.28_139;847,94183;;;;;;;;;;;;;;
7; 450_950_0.71_0.28_139;844,2276;;;;;;;;;;;;;;
8; 450_950_0.71_0.28_139;840,83875;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.28_139;846,83466;;821,03015;904,3762;848,479501;21,84601442;;;;;;;;;
0; 450_950_0.71_0.29_139;857,47894;;;;;;;;;;;;;;
1; 450_950_0.71_0.29_139;834,08594;;;;;;;;;;;;;;
2; 450_950_0.71_0.29_139;810,5735;;;;;;;;;;;;;;
3; 450_950_0.71_0.29_139;898,1078;;;;;;;;;;;;;;
4; 450_950_0.71_0.29_139;858,8633;;;;;;;;;;;;;;
5; 450_950_0.71_0.29_139;848,1462;;;;;;;;;;;;;;
6; 450_950_0.71_0.29_139;907,8092;;;;;;;;;;;;;;
7; 450_950_0.71_0.29_139;958,4311;;;;;;;;;;;;;;
8; 450_950_0.71_0.29_139;819,57916;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.29_139;844,2128;;810,5735;958,4311;863,728794;42,93404736;;;;;;;;;
